Meredith.Whitney
Mike Sneesby
Tony Abbott
Muhtar Kent
Sergio Marchionne
Brian Moynihan
Meredith Whitney
Doug Hodge
Bill Gross
Jeffrey Gundlach
Jim Chanos
Lloyd Blankfein
Josh Brown
Mario Draghi
Maury Harris
Dave Lewis
Warren Buffett
Stefano Dolcetta
Marco Palmieri
Dan Loeb
South Korea
Barack Obama
York Fed
Jan Hatzius
Mark Karpeles
Female Executives
Bill Ackman
Steve Cohen
Janet Yellen
Mike Hopkins
Mark Mobius
Dan Greenhaus
David Einhorn
Gary Loveman
Nicholas Woodman
Adam Nash
Larry Fink
Steve Jobs
David Karp
William Dudley
Alexei Miller
Wilbur Ross
Elon Musk
Moritz Erhardt
Pershing Square
Lance Roberts
Patrick Byrne
Jeff Bezos
Tim Cook
Thomson Reuters
Jeff Immelt
Head Health
Jamie Dimon
Terry Lundgren
Bruce Bent
Judge Forrest
John Paulson
Jeff Gundlach
Meg Whitman
Mike Lynch
Mario Monti
Michael Dieckmann
Tony Fadell
Four Walton
Sony Pictures
Michael Brown
Polar Vortex
James Gorman
York Bagels
Warren Buffet
Mark Zuckerberg
Larry Ellison
Marissa Mayer
Brady Dougan
Joe Ratterman
Gracia Martore
Managing Partner
David Tepper
Kevin Spacey
Louis Bacon
Ron Johnson
Richard Branson
Rupert Murdoch
Dick Costolo
Scott Mather
Mike Nudelman
Paul Singer
Jan Koum
Rich Samp
Julian Robertson
Phil Falcone
Bill Gates
Mike Ullman
Henry Blodget
Michael Johnson
William Ackman
Joey Ramone
Mikhail Khodorkovsky
Mark Carney
Michael Bloomberg
John Silvia
Weak German
Kyle Bass
Craig Donaldson
David Lipton
David Faber
Peter Schiff
Doug Lawler
William Lovette
Eric Schmidt
Ken Lin
Union Bank
Alaa Karam
Ethan Harris
Raizy Glauber
Stephen Roach
Dan Ivascyn
David Jones
Jones Select
Eric Beder
American Eagle
Robert Hanson
Third Point
Daniel Loeb
Henry Kravis
Bob Greifeld
Joseph Halford
Pascal Soriot
Brian Sozzi
Richard Bernstein
Harold Hamm
Ajai Thomas
Fast Retailing
Steve Ballmer
Maria Das
Mark Hurd
Masayoshi Son
Martin Sorrell
David Noble
David Bianco
Larry Page
Evan Spiegel
Riccardo Zacconi
Olive Garden
Mike Pearson
Brent Saunders
Bernie Woodall
Marianne Lake
Kevin Watters
Frida Giannini
Amagi Metals
Matt Shattock
Robert Benmosche
Jurgen Fitschen
